ABBR,TERM
IWK,Iwakuni Kintaikyo Airport,
IXG,Belgaum Airport,
IXL,Leh Airport,
IXN,Khowai,
IXP,Pathankot,
IXQ,Kamalpur,
IXS,Kumbhirgram Airport,
IXT,Pasighat,
IXV,Along,
IXX,Bidar Air Force Station,
IYK,Kern County,
IZA,Zona da Mata Regional Airport,
IZE,Itzehoe/Hungriger Wolf Airport,
IZO,Izumo Airport,
IZT,Ixtepec,
KRC,Kerinci,
JAA,Jalalabad,
KRE,Kirundo,
JAC,Jackson Hole Airport,
JAD,Jandakot,
JAF,Kankesanturai,
JAG,Jacobabad,
KRK,J. Paul II International Airport Krakow-Balice,
KRL,Korla Airport,
JAI,Jaipur Airport,
JAJ,Perimeter Mall,
JAK,Jacmel Regional Airport,
JAL,Jalapa,
JAM,Jambol,
JAN,Jackson-Evers International Airport,
JAO,Beaver Ruin,
JAP,Punta Renes,
JAR,Jahrom,
JAU,Jauja Airport,
KRO,Kurgan Airport,
KBM,Kabwum,
KRR,Krasnodar International Airport,
KSH,Kermanshah Airport,
JBB,Notohadinegoro Airport,
KSI,Kissidougou,
KSK,Karlskoga,
KRW,Turkmanbashi Airport,
KRZ,Kiri,
KSW,Kiryat Shmona,
KTF,Takaka,
KSD,Karlstad Airport,
JBC,Boston City Heliport,
JBK,Berkeley,
KSJ,Kasos Island Airport,
JBR,Jonesboro Airport,
KSL,Kassala Airport,
JBS,Hacienda Bus.Park Heliport,
KSO,Aristoteles Airport,
KSQ,Karshi Airport,
KSS,Sikasso,
KST,Kosti,
JCA,Croisette Heliport,
JCB,Joacaba,
KSY,Kars Airport,
JCC,China Basin Heliport,
JCD,Downtown Heliport,
KTC,Katiola,
JCE,Convention Center Heliport,
JCI,New Century Aircenter Airport,
KTG,Ketapang Airport,
KTI,Kratie,
JCM,Jacobina,
KRP,Karup Airport,
KRQ,Kramatorsk,
KRS,Kristiansand Airport,
KRT,Khartoum International Airport,
KSA,Kosrae Airport,
KSC,Barca Airport,
KSE,Kasese Airport,
KSF,Kassel-Calden Airport,
KSN,Kostanay Airport,
KSU,Kristiansund Airport Kvernberget,
KSZ,Kotlas Airport,
KTA,Karratha Airport,
KTE,Kerteh Airport,
KTL,Kitale Airport,
JCN,Incheon Heliport,
JCO,Heliport,
JCT,Kimble County,
JCU,Ceuta Heliport,
KGZ,Glacier Creek,
JCY,Johnson,
JDA,John Day,
KTU,Kota,
JDB,Downtown Heliport,
KTX,Koutiala,
KTY,Katukurunda Slaf Base,
JDF,Francisco De Assis,
JDG,Jeongseok,
JDH,Jodhpur Airport,
JDM,Miami Downtown Heliport,
KUI,Kawau Island,
KUJ,Kushimoto,
JDN,Jordan,
KUN,Kaunas Airport,
JDO,Orlando Bezerra de Menezes Airport,
KUR,Kuran-O-Munjan,
JDP,Heliport De Paris,
KUT,Kutaisi International Airport,
KUU,Bhuntar Airport,
KUV,Gunsan Airport,
JDR,Sao Joao Del Rei,
JDT,Downtown Heliport,
KVD,Gyandzha Airport,
KVK,Kirovsk Airport,
JDY,Heliport,
JDZ,Jingdezhen Airport,
JED,King Abdulaziz International Airport,
KWA,Kwajalein Airport,
KTP,Tinson,
KWD,Kawadjia,
KTQ,Kitee,
KTT,Kittila Airport,
KTW,Katowice International Airport,
KUA,Sultan Haji Ahmad Shah Airport,
KUD,Kudat Airport,
KUF,Kurumoch International Airport,
KUH,Kushiro Airport,
KUL,Kuala Lumpur International Airport,
KUO,Kuopio Airport,
KUS,Kulusuk Airport,
KVA,Kavala International Airport,
KVB,Skovde,
KVO,Morava Airport,
KVR,Kavalerovo,
KVX,Kirov Airport,
KWE,Guiyang Longdongbao International Airport,
JEE,Jeremie,
KWG,Krivoy Rog,
KWH,Khwahan,
JEF,Memorial,
KWJ,Gwangju Airport,
KWL,Guilin Liangjiang International Airport,
KWU,Mansion House,
KWZ,Kolwezi,
KXE,Klerksdorp,
KXK,Khurba Airport,
KYA,Konya Airport,
KZI,Philippos Airport,
KXD,Kondinskoye Airport,
KZN,Kazan International Airport,
KZO,Kzyl-Orda Airport,
KWI,Kuwait International Airport,
KZG,Kitzingen,
JEG,Aasiaat Airport,
JEK,Jeki Airport,
KYD,Orchid Island,
KYE,Kleyate,
JEM,Heliport,
JEQ,Jequie,
JFM,Heliport,
KYL,Port Largo,
KYN,Milton Keynes,
KYO,Topp Of Tampa,
JFN,Ashtabula,
KYS,Kayes,
KYT,Kyauktaw,
JFR,Paamiut Airport,
JGE,Heliport,
KYZ,Kyzyl Airport,
JGL,Galleria Heliport,
KZC,Kompong-Chhna,
KZD,Krakor,
JGN,Jiayuguan Airport,
JGO,Qeqertarsuaq,
JGP,Greenway Plaza Heliport,
JGQ,Transco Twr Galleria,
JGR,Heliport,
JGS,Ji'An/Jing Gang Shan Airport,
JGX,Heliport,
JHB,Senai Airport,
JHC,Island Heliport,
JHE,Heliport,
JHG,Xishuangbanna Gasa Airport,
JHL,Albian,
JHM,Kapalua Airport,
JHS,Sisimiut Airport,
JIC,Jinchuan Airport,
KZS,Kastellorizo Airport,
LAA,Lamar Field,
LAD,Quatro de Fevereiro Airport,
LAH,Labuha,
LAG,La Guaira,
JID,City Of Industry Heliport,
LAI,Servel Airport,
LAJ,Correia Pinto Airport,
LAL,Municipal,
JIJ,Jigiga Airport,
LAM,Los Alamos,
LBI,Le Sequestre,
LAP,Leon Airport,
LAQ,La Braq Airport,
LAR,General Brees Field,
LAT,La Uribe,
LAU,Lamu,
LAV,Lalomalava,
LBJ,Komodo Airport,
JIK,Ikaria Airport,
JIM,Jimma Airport,
JIN,Jinja,
LBA,Leeds Bradford International Airport,
JIO,International Heliport,
JIP,Jipijapa,
LAF,Purdue University,
LAN,Capital Region International Airport,
LAO,Laoag Airport,
LBH,Palm Beach SPB,
JIQ,Qianjiang Wulingshan Airport,
JIW,Jiwani,
LBK,Liboi,
LBL,Liberal Municipal Airport,
LBN,Lake Baringo,
LBO,Lusambo,
LBP,Long Banga Airfield,
LAW,Lawton-Fort Sill Regional Airport,
LBR,Labrea,
LBT,Lumberton,
LAX,Los Angeles International Airport,
LAY,Ladysmith,
LAZ,Bom Jesus Da Lapa,
LBC,Lubeck Blankensee,
LBD,Khujand Airport,
JJA,Jajao,
JJD,Jericoacoara,
JJG,Jaguaruna Regional Airport,
JJI,Juanjui,
JJM,Mulika Lodge Airport,
LBW,Long Bawan,
LBX,Lubang,
LBY,Montoir,
LBZ,Lukapa,
LCA,Larnaca International Airport,
LCC,Galatina,
LCD,Louis Trichardt,
LCE,Goloson International Airport,
LCF,Las Vegas,
LCG,A Coruna Airport,
LCN,Balcanoona,
LCI,Municipal,
LCJ,Lodz Lublinek Airport,
LCP,Loncopue,
LCL,La Coloma,
LCM,La Cumbre,
JJU,Heliport,
JKV,Cherokee County,
LCQ,Lake City,
LCV,Lucca,
LDA,Malda,
LDK,Hovby,
JLB,Long Beach Heliport,
LDB,Londrina Airport,
LDC,Lindeman Island,
LDE,Tarbes Ossun Lourdes Airport,
LDN,Lamidanda,
LDX,St-Laurent du Maroni,
JLD,Heliport,
JLH,US Army Heliport,
JLN,Joplin Airport,
LDM,Mason County,
JLR,Jabalpur Airport,
LDO,Ladouanie,
LDR,Lodar,
JLS,Jales,
LDV,Landivisiau,
JLX,Union Station Heliport,
JMA,Marriot Astrodome,
JMB,Jamba,
JMC,Marin County,
JMD,Market Centre Heliport,
JMH,Marriott Heliport,
JMJ,Lancang Jingmai Airport,
JMK,Mikonos Airport,
JMM,Malmo Harbour Heliport,
JMN,Municipal Heliport,
JMO,Jomsom,
LEB,Lebanon Regional Airport,
LEC,Coronel Horacio de Mattos Airport,
JMS,Jamestown Airport,
LEE,Leesburg,
LEH,Octeville,
LEI,Almeria Airport,
LEK,Labe,
JMY,Mammy Yoko Heliport,
LEN,Leon Airport,
LEO,Leconi,
LEP,Leopoldina,
LEQ,Lands End,
LET,Gen. A.V. Cobo Airport,
LEU,Seo de Urgel,
LEW,Auburn,
LEX,Blue Grass Airport,
LEY,Lelystad,
LEZ,La Esperanza,
LFB,Lumbo,
LFH,Lanping Feng Hua Airport,
LFK,Lufkin Angelina County,
LFM,Lamerd Airport,
LFN,Franklin,
JNA,Januaria,
LFQ,Linfen Qiaoli Airport,
LFR,La Fria Airport,
LED,Pulkovo Airport,
LEM,Lemmon,
LFO,Kelafo,
JNB,O.R. Tambo International Airport,
LGC,Calloway,
JNG,Jining Airport,
JNH,North Park Inn Heliport,
JNI,Junin,
LGO,Langeoog,
LGQ,Lago Agrio Airport,
LGR,Cochrane,
LIN,Milano Linate Airport,
LGT,Las Gaviotas,
LGU,Cache,
LIP,Lins,
LGY,Lagunillas,
LHA,Black Forest,
ALS,Alamosa Municipal Airport,
LHI,Lereh,
LHK,Guanghua,
LHN,Lishan,
LHV,W T Piper Memorial,
LIA,Liangping,
LIC,Municipal,
LIF,Lifou Airport,
LIG,Bellegarde Airport,
LIT,Bill and Hillary Clinton National Airport,
LGP,Legaspi Airport,
LGS,Malargue,
LIY,Wright AAF,
LGW,London Gatwick Airport,
LHE,Allama Iqbal International Airport,
LHR,London Heathrow Airport,
LIE,Libenge,
LIH,Lihue Airport,
LIK,Likiep Island,
LIL,Lille Airport,
LIM,Jorge Chavez International Airport,
LIO,Limon International Airport,
LIR,Liberia Airport,
LIS,Lisbon Portela Airport,
LIW,Loikaw Airport,
LIZ,Loring AFB,
LJA,Lodja,
LJC,Intercontinental,
LKG,Lokichoggio,
LJN,Brazoria County,
LKP,Lake Placid,
LKA,Gewayenta Airport,
LKC,Lekana,
LKE,Kenmore Air Harbor SPB,
LKR,Las Khoreh,
LKI,Lakeside USAF,
LLK,Lankaran International Airport,
LLS,Las Lomitas,
LKS,Lakeside,
LKV,Lake County,
LKY,Lake Manyara Airport,
LKZ,RAF Lakenheath,
LLB,Libo County Libo City Airport,
LJG,Lijiang Airport,
LLI,Lalibela Airport,
LJU,Ljubljana Joze Pucnik Airport,
LLN,Kelila,
LKH,Long Akah,
LKL,Banak Airport,
LLV,Lüliang Airport,
LKN,Leknes Airport,
LLX,Lyndonville,
LLY,Burlington County,
LKO,Chaudhary Charan Singh International Airport,
LKW,Lekhwair,
LLA,Lulea Airport,
LLC,Cagayan North International Airport,
LLF,Lingling Airport,
LML,Lae Island,
LMC,Lamacarena,
LMD,Los Menucos,
LND,Hunt Field,
LME,Arnage,
LMH,Limon,
LMO,Lossiemouth RAF Station,
ALW,Walla Walla Airport,
LMM,Federal Airport,
LMN,Limbang Airport,
LNK,Lincoln Airport,
LNN,Lost Nation,
LNP,Wise,
LMS,Winston County,
LNR,Tri County,
LMZ,Palma,
LNU,Robert Atty Bessing Airport,
LNX,Smolensk,
LOB,Los Andes,
LNJ,Lincang Airport,
LNL,Longnan Chengzhou Airport,
LNS,Lancaster Airport,
LNV,Lihir Island,
LNY,Lanai Airport,
LMB,Salima,
LMP,Lampedusa Airport,
LMQ,Marsa Brega,
LMR,Lime Acres,
LOF,Loen,
LMT,Crater Lake Klamath Regional Airport,
LNZ,Linz Airport,
LOE,Loei Airport,
LOG,Longview,
LOH,Ciudad de Catamayo Airport,
LOI,Helmuth Baungartem,
LOL,Derby Field,
LOM,Francisco P. V. Y R.,
LOO,L'Mekrareg Airport,
LOP,Lombok International Airport,
LOR,Lowe Army Heliport,
LOS,Murtala Muhammed International Airport,
LOT,Lewis Lockport,
LOU,Bowman Field Airport,
LOV,Monclova,
LOW,Louisa,
LOX,Los Tablones Airport,
LOY,Loyangalani,
LQN,Qala Nau,
LRG,Lora Lai,
ALX,Thomas C Russell Field,
LRH,Laleu Airport,
LRI,Lorica,
LRJ,Municipal,
LRK,Coast Guard,
LRL,Niamtougou,
LRM,La Romana Airport,
LRN,Larson AFB,
LRO,Sharpe AAF,
LRR,Lar Airport,
LRS,Leros Airport,
LTN,London Luton Airport,
LTO,Loreto Airport,
LTQ,Le Touquet,
LTR,Letterkenny,
LTS,Altus AFB,
LTU,Latur,
LTX,Cotapaxi International Airport,
LUD,Luderitz Airport,
LUE,Lucenec,
LUL,Hesler-Noble Field,
LUG,Lugano Airport,
LUH,Ludhiana Sahnewal Airport,
LUI,La Union,
LUK,Cincinnati Municipal Lunken Airport,
LUS,Lusanga,
LUX,Luxembourg Airport,
LUO,Luena,
LVK,Livermore,
LUQ,San Luis Airport,
LVP,Lavan,
LTL,Lastourville,
LWB,Greenbrier Valley Airport,
LWC,Lawrence,
LWE,Lewoleba,
LYE,Lyneham RAF Station,
LWL,Harriet Field,
LWM,Lawrence,
LWN,Leninakan Airport,
LWO,Lviv International Airport,
KOY,Olga Bay SPB,
LWR,Leeuwarden,
LWS,Lewiston-Nez Perce County Regional Airport,
LWT,Municipal,
LWV,Municipal,
LWY,Lawas Airport,
LXA,Lhasa Gonggar Airport,
MAE,Madera,
BKT,Blackstone AAF,
MAH,Menorca Airport,
MAI,Mangochi,
MAJ,Amata Kabua International Airport,
MAK,Malakal,
MAM,Matamoros Airport,
MAN,Manchester Airport,
MAQ,Mae Sot Airport,
MAR,La Chinita Airport,
MAS,Momote Airport,
MAT,Matadi,
MAU,Maupiti,
MAV,Maloelap Island,
MAD,Adolfo Suarez Madrid-Barajas Airport,
MBE,Monbetsu Airport,
MAZ,Eugenio M. De Hostos Airport,
MBG,Mobridge,
MBM,Mkambati,
MBC,Mbigou,
MBD,Mmabatho International Airport,
MBZ,Maues,
MBK,Matupa,
KAQ,Kamulai,
AMN,Gratiot Community,
AMW,Ames,
ANB,Anniston Metropolitan,
AND,Anderson,
ANP,Lee,
ANQ,Tri-State Steuben County,
ANW,Ainsworth,
ANY,Anthony,
AOH,Allen County,
APA,Centennial Airport,
ATL,Hartsfield-Jackson Atlanta International Airport,
WBU,Boulder Municipal,
AVX,Avalon Bay,
AXS,Municipal,
BCE,Bryce,
BDE,Baudette,
BDR,Igor I. Sikorsky Memorial,
BEC,Beech,
BFM,Mobile Downtown Airport,
KBE,Hot Springs SPB,
BFP,Beaver Falls,
BML,Berlin Municipal Airport,
BQK,Glynco Jetport,
BTY,Beatty,
BYH,Blytheville AFB,
CAE,Columbia Metropolitan Airport,
CBM,Columbus AFB,
CEA,Cessna Aircraft Field,
CGS,College Park,
CIU,Chippewa County Airport,
KCC,Coffman Cove SPB,
KCG,Fisheries,
KCR,Colorado Creek,
KCL,Lagoon,
CLT,Charlotte Douglas International Airport,
CRG,Craig Municipal,
CRP,Corpus Christi International Airport,
CSG,Columbus Airport,
KCN,SPB,
CUB,Owens Field,
CYS,Cheyenne,
DCA,Ronald Reagan National Airport,
DGL,Douglas Municipal,
KIP,Kickapoo,
DNN,Municipal,
MRE,Mara Lodges Airport,
KTJ,Kichwa Tembo Airport,
KDQ,Kamberatoro,
KDS,Kamaran Downs,
LKU,Lake Rudolf,
KEB,Nanwalek,
KDP,Kandep,
DRA,Desert Rock,
DRE,Drummond Island,
DTN,Shreveport Downtown,
DWH,David Wayne Hooks,
KDW,Vic. Resevour Kandy,
KRV,Kerio Valley,
KEK,Ekwok,
KEG,Keglsugl,
EFK,Newport,
END,Vance AFB,
KEX,Kanabea,
FAF,Felker AAF,
FCM,Flying Cloud Airport,
FLL,Fort Lauderdale-Hollywood International Airport,
FLX,Municipal,
FNL,Municipalcipal Airport,
FOE,Forbes Field,
FRD,Friday Harbor Airport,
FSI,Henry Post AAF,
FTW,Meacham Field,
GCN,National Park,
KGX,Grayling Airport,
GWS,Glenwood Springs,
KGW,Kagi,
HOU,William P. Hobby Airport,
HTW,Lawrence County Airpark,
IAB,Mcconnell AFB,
IAH,George Bush Intercontinental Airport,
INS,Af Aux,
IPL,Imperial County Airport,
KIA,Kaiapit,
ISN,Sloulin Field International Airport,
KIB,SPB,
KIQ,Kira,
LAS,McCarran International Airport,
KIZ,Kikinonda,
LBB,Lubbock Preston Smith International Airport,
DTH,Death Valley,
JAS,County,
KJU,Kamiraba,
KKB,SPB,
KKL,Karluk Lake SPB,
KLS,Longview,
LPC,Lompoc Airport,
LSF,Lawson AAF,
LUF,Luke AFB,
LFI,Langley AFB,
LGF,Laguna AAF,
LNA,Palm Beach County Park,
KMB,Koinambe,
MAF,Midland International Airport,
MAC,Smart,
MCE,Merced Municipal Airport,
MCF,Mac Dill AFB,
MCN,Lewis B Wilson,
KMF,Kamina,
MGE,Dobbins AFB,
MGM,Montgomery Regional Airport,
MGR,Moultrie Municipal,
MHR,Mather Airport,
MIB,Minot AFB,
KMM,Kimam,
MVY,Martha's Vineyard Airport,
FWH,Fort Worth NAS Jrb/Carswell Field,
MWC,Lawrence J Timmerman,
MYF,Montgomery Field,
NIP,Jacksonville NAS,
NJK,El Centro NAF,
KMY,Moser Bay,
KNL,Kelanoa,
KOL,Koumala,
NQX,Key West NAS /Boca Chica Field (private U. S. Navy ),
NRB,Ns,
OKC,Will Rogers World Airport,
KOM,Komo-Manda,
KOR,Kokoro,
ESD,Orcas Island Airport,
GLB,San Calos Apache,
KPB,Point Baker SPB,
KPE,Yapsiei,
KPL,Kapal,
KPR,Port Williams SPB,
KRJ,Karawari,
RFG,Rooke Field,
RHV,Reid-Hillview,
KPY,Port Bailey SPB,
KQA,Akutan,
KQL,Kol,
KRU,Kerau,
RND,Randolph AFB,
ROC,Greater Rochester International Airport,
SCH,Schenectady County,
SDM,Brown Field Municipalcipal,
SFF,Felts Field,
SKF,Kelly AFB,
SVQ,Seville Airport,
KSG,Kisengan,
KTB,Thorne Bay,
RUI,Ruidoso Sierra Blanca Regional Airport,
SSC,Shaw AFB,
KSP,Kosipe,
TEX,Telluride Regional,
THA,Tullahoma/William Northern Field,
KTK,Kanua,
TPH,Tonopah Airport,
VAD,Moody AFB,
KUX,Kuyol,
BFG,Bullfrog Basin,
KUP,Kupiano,
KVE,Kitava,
KWF,Waterfall SPB,
KWP,Village SPB,
KWV,Kurwina,
KWX,Kiwai Island,
KWY,Kiwayu,
KXA,Kasaan SPB,
KZB,Zachar Bay SPB,
KZF,Kaintiba,
LAC,Layang-Layang Airstrip,
LBM,Luabo,
VLC,Valencia Airport,
XRY,Jerez Airport,
LDW,Lansdowne,
ABC,Los Llanos,
AGP,Malaga Airport,
ALC,Alicante-Elche Airport,
CQM,Ciudad Real Central,
ANE,Angers-Marce Airport,
LTT,La Mole,
BSL,EuroAirport Swiss,
CDG,Charles de Gaulle Airport,
SXB,Strasbourg Airport,
TLN,Hyeres Airport,
PEV,Pecs Pogany,
LGE,Lake Gregory,
AOK,Karpathos Airport,
FOG,Gino Lisa,
LGM,Laiagam,
LGN,Linga Linga,
LHP,Lehu,
PIX,Pico Island Airport,
VIC,Trissino,
LNM,Langimar,
LNC,Lengbati,
LNF,Munbil,
LNQ,Loani,
LLH,Las Limas,
AVR,Alverca,
CAT,Cascais Municipal Aerodrome,
CVU,Corvo Island (Azores) Airport,
LLL,Lissadell,
PED,Pardubice Airport,
VOD,Vodochody,
EIY,Ein Yahav,
ETH,Eilat Airport,
ETM,Ramon Airport,
FAO,Faro Airport,
FLW,Santa Cruz Airport,
HOH,Hohenems-Dornbirn,
SZG,W. A. Mozart Salzburg Airport,
BBU,Baneasa,
LTF,Leitre,
LUZ,Lublin Airport,
KZR,Zafer Airport,
NOP,Sinop Airport - Turkey,
ADB,Izmir Adnan Menderes Airport,
AOE,Anadolu University,
GNY,Sanliurfa GAP Airport,
ISL,Istanbul Ataturk Airport,
MDR,Medfra,
MAP,Mamai,
MDS,Middle Caicos,
NCA,North Caicos,
MDV,Medouneu,
MGG,Margarima,
MGP,Manga,
PIC,Pine Cay,
AAZ,Quetzaltenango,
AIM,Ailuk Island,
BII,Enyu Airfield,
BTS,Bratislava Airport,
CMM,Carmelita,
SLX,Salt Cay,
DOA,Doany,
GDT,Grand Turk Island,
CDD,Cauquira,
MJE,Majkin,
MHY,Morehead,
KBT,Kaben,
MIZ,Mainoru,
KIN,Norman Manley International Airport,
MJJ,Moki,
EBN,Ebadon,
JAT,Jabot,
JEJ,Jeh,
MKN,Malekolon,
MLQ,Malalaua,
MUG,Mulege,
NOG,Nogales,
ACN,International,
AZP,Atizapan,
CUA,Ciudad Constitución Airport,
BZA,San Pedro,
MNP,Maron,
MPG,Makini,
MPU,Mapua,
MPX,Miyanmin,
MQO,Malam,
CSC,Canas,
NCT,Guanacaste,
MRT,Moroak,
NOB,Nosara Beach,
DRK,Drake Bay,
GAO,Los Canos Airport,
GER,Rafael Cabrera Airport,
GLF,Golfito Airport,
MVI,Manetai,
MWR,Motswari Airfield,
MAY,Mangrove Cay,
NAS,Lynden Pindling International Airport,
MYX,Menyamya,
MXK,Mindik,
LLM,Long Lama,
MYK,May Creek,
MYG,Mayaguana Airport,
ASD,Andros Town,
ATC,Arthur's Town,
BIM,Bimini International Airport,
CCZ,Chub Cay,
CRI,Crooked Island Airport,
CXY,Cat Cays,
CYB,Charles Kirkconnel International Airport,
MFW,Magaruque,
NMC,Norman's Cay,
RCY,Rum Cay,
ELH,North Eleuthera International Airport,
GHB,Governor's Harbour Airport,
GHC,Great Harbour,
MZE,Manatee,
MGS,Mangaia Island,
AQS,Saqani,
MUK,Mauke Island,
MHX,Manihiki Island,
KDV,Kandavu Airport,
NDI,Namudi,
LBS,Labasa Airport,
LEV,Levuka Airfield,
LKB,Lakeba Airport,
KXF,Koro Island,
MOI,Mitiaro Island,
KAY,Wakaya Island,
AIT,Aitutaki Airport,
AIU,Atiu Island,
BEZ,Beru,
BVF,Dama,
BZE,Philip S.W. Goldson International Airport,
IBO,Ibo,
TTL,Turtle Island,
ICI,Cicia,
IMI,Ine Island,
NDN,Nadunumu,
MNF,Mana Island Airstrip,
LUC,Laucala Island,
NAN,Nadi International Airport,
MFJ,Moala,
NFO,Mata'aho,
KUC,Kuria,
PTF,Malololailai,
ONU,Ono I Lau,
NIG,Nikunau,
OOT,Onotoa,
PYE,Penrhyn Island,
SVU,Savusavu Airport,
VAU,Vatukoula,
MKP,Makemo,
FAC,Faaite,
TBF,Tabiteuea North,
FAV,Fakarava Airport,
FGU,Fangatau,
FHZ,Fakahina,
NAU,Napuka Island,
FTI,Fitiuta,
GMR,Gambier Island,
HBB,Industrial Airpark,
MVT,Mataiva,
NON,Nonouti,
HHZ,Hikueru,
RVV,Raivavae,
TIH,Tikehau Atoll Airport,
KKR,Kaukura Atoll Airport,
TKV,Tatakoto,
TKP,Takapoto,
KHZ,Kauehi Airport,
NOO,Naoro,
AAA,Anaa,
AAK,Aranuka,
AEA,Abemama Atoll,
AHE,Ahe Airport,
APK,Apataki,
AXR,Arutua Airport,
BBG,Butaritari,
NPG,Nipa,
NRY,Newry,
NIK,Niokolo Koba,
NOM,Nomad River,
PKP,Puka Puka,
NTA,Natadola,
NUK,Nukutavake,
RMT,Rimatara,
PUK,Pukarua,
RKA,Aratika-Nord,
REA,Reao,
RUR,Rurutu,
RRR,Raroia,
UAH,Ua Huka,
LOD,Longana,
LNE,Lonorore,
MTV,Mota Lava,
UOA,Mururoa Airstrip,
TGH,Tongoa,
MWF,Maewo,
TOH,Torres Airstrip,
LPM,Lamap,
AUQ,Hiva Oa Airport,
AUY,Aneityum,
AWD,Aniwa,
BOB,Motu Mute Airport,
CCV,Craig Cove,
LNB,Lamen Bay,
MEE,Mare Airport,
NHV,Nuku Hiva Airport,
UIQ,Quine Hill,
DLY,Dillons Bay,
EAE,Emae,
FTA,Futuna Airport,
HOI,Hao Island,
IPA,Ipota,
NUG,Nuguria,
PBJ,Paama,
RGI,Rangiroa Airport,
SLH,Sola,
SSR,Sara,
SWJ,South West Bay,
VHZ,Vahitahi,
VLI,Bauerfield Airport,
MON,Mount Cook Airport,
MFN,Milford Sound,
RAG,Raglan,
ALR,Alexandra,
CMV,Coromandel,
DGR,Dargaville,
GTN,Glentanner,
HKK,Hokitika Airport,
OAZ,Camp Bastion,
AHB,Abha Regional Airport,
OGE,Ogeranang,
SLF,Sulayel,
OGM,Ogobsucum,
ACP,Sahand,
AEU,Abu Musa,
BUZ,Bushehr Airport,
JSK,Municipalcipal Heliport,
OKV,Okao,
XSB,Sir Bani Yas Island Airport,
OLH,Old Harbor SPB,
OLQ,Olsobip,
ONB,Ononge,
OMM,Marmul,
SHJ,Sharjah International Airport,
SLL,Salalah International Airport,
AAN,Al Ain Airport,
ADJ,Marka International Airport,
AUH,Abu Dhabi International Airport,
AZI,Bateen,
BHW,Bhagatanwala Airport,
DEA,Dera Ghazi Khan Airport,
DHF,Al Dhafra Military Airport,
DQM,Duqm International Airport,
DWC,Dubai World Central - Al Maktoum International Airport,
DXB,Dubai Airport,
FAU,Fahud,
JNJ,Jaaluni,
IQA,Al Asad Air Base,
OSE,Omora,
ORI,Port Lions SPB,
OSG,Ossima,
OTY,Oria,
OXO,Orientos,
BMX,Big Mountain,
BRW,Wiley Post-Will Rogers Memorial Airport,
BTI,Barter Island Airport,
BTT,Bettles,
BVU,Beluga,
CDB,Cold Bay Airport,
CDV,Mudhole Smith Airport,
CEM,Central,
ADK,Adak Island Ns,
ADQ,Kodiak Benny Benson State Airport,
AKB,Atka,
ATU,Casco Cove,
AXK,Ataq,
BET,Bethel Airport,
BFQ,Bahia Pinas,
BIG,Intermediate Field,
BKC,Buckland Airport,
CIK,Chalkyitsik,
CTE,Carti,
CXF,Coldfoot,
KKH,Kongiganak Airport,
CYF,Chefornak Sea Plane Base,
CYT,Intermediate,
MPP,Mulatupo,
CZF,Cape Romanzof,
MLL,Marshall Don Hunter Sr. Airport,
PML,AFS,
PTD,Port Alexander,
SCM,SPB,
RDB,Red Dog,
DLG,Dillingham Airport,
DRG,Deering Airport,
EHM,Cape Newenham,
EIL,Eielson AFB,
ELE,El Real,
ELV,Elfin Cove SPB,
EMK,Emmonak Airport,
DUT,Unalaska Airport,
EAA,Eagle,
EDF,Elmendorf AFB,
EEK,Eek Airport,
JNU,Juneau International Airport,
MCG,McGrath Airport,
MOU,Mountain Village Airport,
MCL,Mt Mckinley,
MDO,Intermediate,
MTM,SPB,
KWK,Kwigillingok Airport,
KLW,Klawock Airport,
NIB,Nikolai,
WAA,Wales Airport,
ABL,Ambler Airport,
AGN,Angoon,
AKK,Akhiok SPB,
UTO,Indian Mountain AFS,
KGK,New Koliganek,
KDK,Municipal,
KPN,Kipnuk SPB,
EGX,Egegik Airport,
LKK,Kulik Lake,
FAI,Fairbanks International Airport,
FBK,Ft Wainwright,
FWL,Farewell,
UUK,Kuparuk,
GAL,Edward G. Pitka Sr. Airport,
GBH,Galbraith Lake,
HNS,Haines Municipal Airport,
KLN,Larsen SPB,
KLG,Kalskag Municipal Airport,
HUS,Hughes Municipal Airport,
KMO,Manokotak SPB,
HYG,Hydaburg Sea Plane Base,
IKO,Nikolski AFS,
HNH,Hoonah Airport,
MYU,Ellis Field,
MXY,Mccarthy,
NNL,Nondalton,
NUL,Nulato Airport,
OBU,Kobuk/Wien Airport,
PCA,Portage Creek,
UNK,Unalakleet Airport,
PIP,Pilot Point,
KNW,New Stuyahok,
KPV,Perryville SPB,
PPC,Prospect Creek,
PSG,Petersburg Municipal Airport,
KWN,Kwinhagak Airport,
PKA,Napaskiak Sea Plane Base,
SHH,Shishmaref Airport,
SNP,Saint Paul Island Airport,
ANC,Ted Stevens Anchorage International Airport,
ANI,Aniak Airport,
ANN,Annette Island,
ANV,Anvik Airport,
ARC,Arctic Village,
ATK,Atqasuk Edward Burnell Sr. Memorial Airport,
TAL,Ralph Calhoun,
TNC,Tin City Afs,
AUK,Alakanuk Airport,
TOG,Togiak Village,
RSH,Russian SPB,
TLJ,Tatalina AFS,
UMT,Umiat,
SIT,Sitka Airport,
ENN,Municipal,
FNR,SPB,
SKW,Intermediate,
TLA,Teller Airport,
SVW,Sparrevohn AFS,
WNA,Napakiak Sea Plane Base,
WLK,Selawik Airport,
EMI,Emirau,
ERE,Erave,
KVC,King Cove,
